Compartment,Datetime,Depth,Moisture_m3_m3,Temp_C,Remove
WBHW,01-03-2009  9:00:00 AM,vertical,0.17386,,
WBHW,01-03-2009  9:00:00 PM,25cm,0.13016,,
WBHW,01-03-2009  9:00:00 PM,10cm,0.14756,1.17,
WBHW,01-03-2009  9:00:00 PM,vertical,0.17301,,
WBHW,01-03-2010  12:00:00 AM,25cm,0.12762,,
WBHW,01-03-2010  12:00:00 AM,10cm,0.14756,2.46,
WBHW,01-03-2010  12:00:00 AM,vertical,0.17089,,
WBHW,01-03-2010  12:00:00 PM,25cm,0.12762,,
WBHW,01-03-2010  12:00:00 PM,10cm,0.14671,2.46,
WBHW,01-03-2010  12:00:00 PM,vertical,0.17004,,
WBHW,01-03-2010  3:00:00 AM,25cm,0.12762,,
WBHW,01-03-2010  3:00:00 AM,10cm,0.14671,2.03,
WBHW,01-03-2010  3:00:00 AM,vertical,0.17046,,
WBHW,01-03-2010  3:00:00 PM,25cm,0.12762,,
WBHW,01-03-2010  3:00:00 PM,10cm,0.14671,2.03,
WBHW,01-03-2010  3:00:00 PM,vertical,0.16961,,
WBHW,01-03-2010  6:00:00 AM,25cm,0.12762,,
WBHW,01-03-2010  6:00:00 AM,10cm,0.14671,2.03,
WBHW,01-03-2010  6:00:00 AM,vertical,0.17046,,
WBHW,01-03-2010  6:00:00 PM,25cm,0.1272,,
WBHW,01-03-2010  6:00:00 PM,10cm,0.14756,2.03,
WBHW,01-03-2010  6:00:00 PM,vertical,0.16961,,
WBHW,01-03-2010  9:00:00 AM,25cm,0.12762,,
WBHW,01-03-2010  9:00:00 AM,10cm,0.14756,2.03,
WBHW,01-03-2010  9:00:00 AM,vertical,0.16961,,
WBHW,01-03-2010  9:00:00 PM,25cm,0.1272,,
WBHW,01-03-2010  9:00:00 PM,10cm,0.14756,2.03,
WBHW,01-03-2010  9:00:00 PM,vertical,0.16961,,
WBHW,01-03-2011  12:00:00 AM,25cm,0.11405,,
WBHW,01-03-2011  12:00:00 AM,10cm,0.13483,2.46,
WBHW,01-03-2011  12:00:00 AM,vertical,0.16792,,
WBHW,01-03-2011  12:00:00 PM,25cm,0.11489,,
WBHW,01-03-2011  12:00:00 PM,10cm,0.13568,2.46,
WBHW,01-03-2011  12:00:00 PM,vertical,0.16368,,
WBHW,01-03-2011  3:00:00 AM,25cm,0.11447,,
WBHW,01-03-2011  3:00:00 AM,10cm,0.13568,2.46,
WBHW,01-03-2011  3:00:00 AM,vertical,0.16707,,
WBHW,01-03-2011  3:00:00 PM,25cm,0.11489,,
WBHW,01-03-2011  3:00:00 PM,10cm,0.13568,2.46,
WBHW,01-03-2011  3:00:00 PM,vertical,0.16283,,
WBHW,01-03-2011  6:00:00 AM,25cm,0.11489,,
WBHW,01-03-2011  6:00:00 AM,10cm,0.13568,2.46,
WBHW,01-03-2011  6:00:00 AM,vertical,0.1658,,
WBHW,01-03-2011  6:00:00 PM,25cm,0.11489,,
WBHW,01-03-2011  6:00:00 PM,10cm,0.13653,2.46,
WBHW,01-03-2011  6:00:00 PM,vertical,0.1624,,
WBHW,01-03-2011  9:00:00 AM,25cm,0.11489,,
WBHW,01-03-2011  9:00:00 AM,10cm,0.13568,2.46,
WBHW,01-03-2011  9:00:00 AM,vertical,0.16452,,
WBHW,01-03-2011  9:00:00 PM,25cm,0.11447,,
WBHW,01-03-2011  9:00:00 PM,10cm,0.13568,2.46,
WBHW,01-03-2011  9:00:00 PM,vertical,0.16113,,
WBHW,01-04-2006  12:00:00 AM,25cm,0.10853,,
WBHW,01-04-2006  12:00:00 AM,10cm,0.13059,0.73,
WBHW,01-04-2006  12:00:00 AM,vertical,0.16665,,
WBHW,01-04-2006  12:00:00 PM,25cm,0.10683,,
WBHW,01-04-2006  12:00:00 PM,10cm,0.12974,0.29,
WBHW,01-04-2006  12:00:00 PM,vertical,0.16495,,
WBHW,01-04-2006  3:00:00 AM,25cm,0.10811,,
WBHW,01-04-2006  3:00:00 AM,10cm,0.13059,0.29,
WBHW,01-04-2006  3:00:00 AM,vertical,0.1658,,
WBHW,01-04-2006  3:00:00 PM,25cm,0.10599,,
WBHW,01-04-2006  3:00:00 PM,10cm,0.12974,0.29,
WBHW,01-04-2006  3:00:00 PM,vertical,0.1641,,
WBHW,01-04-2006  6:00:00 AM,25cm,0.10768,,
WBHW,01-04-2006  6:00:00 AM,10cm,0.13059,0.29,
WBHW,01-04-2006  6:00:00 AM,vertical,0.16537,,
WBHW,01-04-2006  6:00:00 PM,25cm,0.10599,,
